Name,Location,Category,Bio URL,Latitude,Longitude
Ahmed Zidan,Malaysia,Containers Builder since 2021,https://www.linkedin.com/in/ahmedmahmoudzidan/,4.5693754,102.2656823
Ai Hayakawa,Japan,Cloud Operations Builder since 2021,https://www.linkedin.com/in/ai-hayakawa/,36.5748441,139.2394179
Airat Yusuff,"Manchester, United Kingdom",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/khairah-yusuff,53.4794892,-2.2451148
Ajay Dhungel,"Kathmandu, Nepal",Dev Tools Builder since 2023,https://www.linkedin.com/in/ajay-dhungel-2244b5193/,27.708317,85.3205817
Ajay Kumar S,"Chennai, India",Containers Builder since 2020,https://www.linkedin.com/in/movingtoweb/,13.0836939,80.270186
Ajay Kumar Yegireddi,"Hyderabad, India",Dev Tools Builder since 2024,https://www.linkedin.com/in/ajay-kumar-yegireddi-cloudbook/,17.360589,78.4740613
Ajay Wadhara,"London, United Kingdom",Serverless Builder since 2020,https://www.linkedin.com/in/ajaywadhara/,51.4893335,-0.1440551
Ajit Inamdar,"Mumbai, India",Networking & Content Delivery Builder since 2021,https://in.linkedin.com/in/ajitinamdar,19.054999,72.8692035
Ajmal Nazir,"Doha, Qatar",Containers Builder since 2021,https://www.whatsgoingonaws.com,25.2856329,51.5264162
Aju Tamang,"Kathmandu, Nepal",Containers Builder since 2021,https://csaju.com/about/,27.708317,85.3205817
Akande Olalekan Toheeb,"Ibadan, Nigeria",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/akande-olalekan-toheeb-2a69a0221/,7.3786064,3.8969928
Akanksha Rana,India,Serverless Builder since 2023,https://www.linkedin.com/in/akanksha-rana-93d1111,22.3511148,78.6677428
Akash Tyagi,"Singapore, Singapore",Containers Builder since 2022,https://www.linkedin.com/in/akashdktyagi,1.357107,103.8194992
Akesh Patil,"Pune, India",Dev Tools Builder since 2022,https://www.linkedin.com/in/iakeshpatil/,18.5213738,73.8545071
Akhan Zhakiyanov,Russia,Containers Builder since 2024,No URL,64.6863136,97.7453061
Akhil Peruri,"Hyderabad, India",Containers Builder since 2023,https://www.linkedin.com/in/akhil-peruri-3333321abc1233333,17.360589,78.4740613
Akhilesh Yadav,"Mumbai, India",Serverless Builder since 2021,https://ayzom.com,19.054999,72.8692035
Aki Ristkari,"Tampere, Finland",Serverless Builder since 2021,No URL,61.4980214,23.7603118
Akifumi Niida,"Kanagawa, Japan",Containers Builder since 2022,https://twitter.com/nid777,35.4342935,139.374753
Akintola Adjibao,"Cotonou, Benin",Containers Builder since 2022,https://www.linkedin.com/in/akintolaadjibao,6.3676953,2.4252507
Akira Nishikawa,"Kagoshima, Japan",Security Builder since 2024,https://www.linkedin.com/in/akira-nishikawa-74429639/,31.521587,130.5474077
Akira Sato,"Hokkaido, Japan",Dev Tools Builder since 2024,https://zenn.dev/akira_blog,43.4519831,142.8197834
Akira Tateishi,"Sagamihara, Japan",Serverless Builder since 2020,https://www.i-gnote.com,35.5714621,139.3731052
Akrur Neupane,"Kathmandu, Nepal",Network Content & Delivery Builder since 2024,https://www.linkedin.com/in/neupaneakrur/,27.708317,85.3205817
Akwo-Fese Efimba,United Kingdom,Network Content & Delivery Builder since 2022,No URL,54.7023545,-3.2765753
Alan Blockley,"Brisbane, Australia",Serverless Builder since 2023,https://www.linkedin.com/in/alan-blockley,-27.4689682,153.0234991
Alanoud Saud Alassaf,"Riyadh, Kingdom of Saudi Arabia",Game Tech Builder since 2021,https://www.linkedin.com/in/alanoudalassaf,23.333333,45.333333
Alavi Been Azam,"Dhaka, Bangladesh",Machine Learning Builder since 2022,https://www.linkedin.com/in/alavibeenazam/,23.8202931,90.3710408
Alba Garcia Boiza,"Madrid, Spain",Cloud Operations Builder since 2024,No URL,40.4167047,-3.7035825
Albertini Francis,Kenya,Security Builder since 2022,https://www.linkedin.com/in/albertini-francis-5ab9b2129/,1.4419683,38.4313975
Alberto Souza Fernandes,"São Paulo, Brazil",Security Builder since 2023,https://www.linkedin.com/in/alberto-souza-fernandes-75236b165/,-23.5506507,-46.6333824
