Name,AWS Community Programs,Bio URL,Formula,Category,Category 1,Since Date,Formula 1,Date Created,Date Updated,Description,Image URL,Location,Recording date,Status,Tags
Rob Koch,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/robert-koch/?did=dh_card&trk=dh_card,,AWS Data Hero,,Hero since 2019,,"November 6, 2019 6:26 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>A tech enthusiast who thrives on steering projects from their initial spark to successful fruition&hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/robert-koch/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/nov/Rob%20Koch%20100.1c66c678676a00190e91b606c5229ac56a120289.png,"Seattle, USA",,Next up,North America|Americas|2019|Blogger|AWS Data Hero|Technical Author
Sebastian Korfmann,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/sebastian-korfmann/?did=dh_card&trk=dh_card,,AWS DevTools Hero,,Hero since 2020,,"November 12, 2020 8:08 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Sebastian Korfmann is an entrepreneurial Software Engineer based in Hamburg, Germany…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/sebastian-korfmann/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/sebastien-korfmann.fe10f4e96874e912f525d1404ef90a44dd32822b.png,"Hamburg, Germany",,Next up,"Trainer / Educator|2020|Europe, Middle East, & Africa|AWS DevTools Hero|Open Source Contributor|Blogger"
Sridevi Murugayen,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/sridevi-murugayen/?did=dh_card&trk=dh_card,,AWS Data Hero,,Hero since 2020,,"August 20, 2020 7:37 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Sridevi Murugayen has 16+ years of IT experience and is a passionate developer and…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/sridevi-murugayen/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/sridevi-murugayen.4ac808d7bf4462e4cd1d803d0c3a44d283acbe29.png,"Chennai, India",,Next up,Meetup Organizer|Asia Pacific|2020|AWS Data Hero|Blogger|Conference Speaker
Stéphane Maarek,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/stephane-maarek/?did=dh_card&trk=dh_card,,AWS Data Hero,,Hero since 2020,,"August 20, 2020 7:37 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Stéphane is an online instructor at Udemy with many courses designed to teach users…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/stephane-maarek/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/stephane-maarek.6a11bb36c338d79521c032ce6c8d44947f76b0c0.png,"Lisbon, Portugal",,Next up,"Trainer / Educator|2020|Europe, Middle East, & Africa|Technical Author|Blogger|AWS Data Hero|Conference Speaker"
Steve Teo,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/steve-teo/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2020,,"February 27, 2020 7:43 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Steve works at Horangi Cyber Security, an Amazon Partner Network (APN) Technology Partner...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/steve-teo/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/steve-teo.677a405e25ef1327a20ad945674b6724a3b8712f.png,Singapore,,Next up,Meetup Organizer|Trainer / Educator|Asia Pacific|2020|AWS Community Hero|Blogger|Conference Speaker
Thorsten Höger,"AWS User Group Leaders (https://www.notion.so/AWS-User-Group-Leaders-16181018ea0380f58ad5d335332ce0e9?pvs=21), AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21)",https://aws.amazon.com/developer/community/heroes/thorsten-hoger/?did=dh_card&trk=dh_card,,AWS DevTools Hero,,Hero since 2017,,"February 19, 2019 8:51 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Thorsten is a Cloud Automation Evangelist at Taimos, where he advises customers on using AWS...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/thorsten-hoger/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Thorsten%20Hoger%20100.621a4d80fd786132a4209514ce3230ec036a00ee.png,"Stuttgart, Germany","January 2, 2025 2:00 PM (GMT+1)",editing,"2017|Meetup Organizer|AWS DevTools Hero|Trainer / Educator|Europe, Middle East, & Africa|Open Source Contributor|Conference Speaker"
Vlad Ionescu,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/vlad-ionescu/?did=dh_card&trk=dh_card,,AWS Container Hero,,Hero since 2019,,"November 6, 2019 6:26 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Vlad is a DevOps Consultant helping companies deliver more reliable software faster and safer...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/vlad-ionescu/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/vlad-ionescu-circular-headshot.16833e2334f7d7786f7888333f3a2ebb3caee733.png,"Bucharest, Romania",,Next up,"AWS Container Hero|Europe, Middle East, & Africa|2019|Technical Author|Open Source Contributor"
Yan Cui,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/yan-cui/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2018,,"February 19, 2019 8:51 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Yan is an experienced engineer who has worked with AWS since 2009. He's been an architect...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yan-cui/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yanc-headshotcircle-100px.d664c7a0b9fe2ad4365ab87854365ada2fbdba52.png,"London, United Kingdom",,Next up,"Trainer / Educator|Europe, Middle East, & Africa|2018|Technical Author|Open Source Contributor|Blogger|Conference Speaker|AWS Serverless Hero"
Andreas Rütten,AWS Community Builders (https://www.notion.so/AWS-Community-Builders-16181018ea03809d8ef3d9dda458d20e?pvs=21),https://www.linkedin.com/in/andreas-ruetten/,Cloud Operations Builder,Cloud Operations Builder,Cloud Operations Builder since 2020,2020,2020,,,,,Germany,,Next up,
Davide de Paolis,AWS Community Builders (https://www.notion.so/AWS-Community-Builders-16181018ea03809d8ef3d9dda458d20e?pvs=21),https://www.linkedin.com/in/davide-de-paolis-98ab9815/,Serverless Builder,Serverless Builder,Serverless Builder since 2022,2022,2022,,,,,"Hamburg, Germany",,Next up,
